"latitude","longitude","pres_abs"
34.75,-119.94,0
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.72,-119.97,0
34.46,-119.77,0
34.68,-120.14,0
34.46,-119.77,0
34.47,-120.23,1
34.47,-120.23,1
34.47,-120.23,1
34.47,-120.23,1
34.47,-120.23,1
34.47,-120.23,1
34.47,-120.23,1
34.04,-119.57,1
34.46,-120.06,0
34.4,-119.74,0
34.77,-119.94,1
34.77,-119.94,1
34.77,-119.94,1
34.05,-119.57,1
34.72,-120.05,0
34.72,-119.96,0
34.74,-120.03,0
34.55,-120.39,0
34.57,-119.95,0
34.02,-119.57,0
34.46,-119.77,0
34.7,-120.17,0
34.7,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.7,-120.04,1
34.05,-119.57,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.4,-119.52,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.76,-119.96,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.73,-120.57,0
34.84,-120.34,0
34.89,-120.62,0
34.75,-120.06,0
34,-119.73,0
34.54,-120.54,0
34.41,-119.88,1
34.41,-119.88,1
34.05,-119.57,1
34.53,-120.52,1
34.53,-120.52,1
34.53,-120.52,1
34.46,-119.77,0
34.61,-120.07,0
34.03,-119.7,0
34.05,-119.57,1
34.85,-120.6,0
34.5,-119.64,0
34.53,-120.52,1
34.53,-120.52,1
34.53,-120.52,1
34.46,-120.06,0
34.46,-119.76,1
34.05,-119.57,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.57,-119.95,0
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.41,-119.88,1
34.41,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.42,-119.88,1
34.74,-120.28,0
34.57,-120.44,0
34.46,-120.03,1
34.46,-120.03,1
33.99,-119.69,0
34.05,-119.57,1
33.99,-119.71,0
34.05,-119.57,1
34.76,-119.96,1
34.84,-120.26,0
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.42,-119.66,1
34.84,-120.33,0
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.39,-119.5,1
34.58,-120.3,0
34.51,-119.61,1
34.63,-120.45,0
34.77,-119.94,1
34.77,-119.94,1
34.77,-119.94,1
34.52,-119.63,0
34.52,-119.63,0
34.63,-120.45,0
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.05,-119.55,0
34.52,-119.63,0
34.52,-119.63,0
34.59,-119.74,0
34.52,-119.63,0
34.52,-119.63,0
34.72,-120.06,0
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.73,-120.04,0
34.62,-120.21,0
34.46,-119.73,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.47,-120.19,0
34.05,-119.57,1
34.02,-119.77,1
34.46,-119.77,0
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.46,-119.77,0
34.73,-120.04,0
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.46,-119.73,1
34.03,-119.7,0
34.5,-119.64,0
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.05,-119.56,1
34.04,-119.57,1
34.76,-119.57,0
34.41,-119.88,1
34.41,-119.88,1
34.05,-119.57,1
34.74,-120.06,0
34.46,-119.76,1
34.71,-120.04,0
34.52,-119.63,0
34.03,-119.7,0
34.41,-119.88,1
34.41,-119.88,1
34.05,-119.57,1
34.03,-119.7,0
34.86,-120.32,0
34.54,-119.62,0
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
34.69,-120.04,1
